猿面冠者	猿面冠者
おおむかし、まだ世界の地面は固って居らず、海は流れて居らず、空気は透きとおって居らず、みんなまざり合って渾沌としていたころ、それでも太陽は毎朝のぼるので、或る朝、ジューノーの侍女の虹の女神アイリスがそれを笑い、太陽どの、太陽どの、毎朝ごくろうね、下界にはあなたを仰ぎ見たてまつる草一本、泉ひとつないのに、と言いました。	おほむかし、まだ世界の地面は固つて居らず、海は流れて居らず、空氣は透きとほつて居らず、みんなまざり合つて混沌としてゐたころ、それでも太陽は毎朝のぼるので、或る朝、ヂユーノーの侍女の虹の女神アイリスがそれを笑ひ、太陽どの、太陽どの、毎朝ごくらうね、下界にはあなたを仰ぎ見たてまつる草一本、泉ひとつないのに、と言ひました。
太陽は答えました。	太陽は答へました。
わしはしかし太陽だ。	わしはしかし太陽だ。
太陽だから昇るのだ。	太陽だから昇るのだ。
見ることのできるものは見るがよい。	見ることのできるものは見るがよい。
私、学者でもなんでもないの。	私、學者でもなんでもないの。
これだけ書くのにも、ずいぶん考えたし、なんどもなんども下書しました。	これだけ書くのにも、ずゐぶん考へたし、なんどもなんども下書しました。
あなたがよい初夢とよい初日出をごらんになって、もっともっと生きることに自信をお持ちなさるよう祈っているもののあることを、お知らせしたくて一生懸命に書きました。	あなたがよい初夢とよい初日出をごらんになつて、もつともつと生きることに自信をお持ちなさるやう祈つてゐるもののあることを、お知らせしたくて一生懸命に書きました。
こんなことを、だしぬけに男のひとに書いてやるのは、たしなみなくて、わるいことだと思います。	こんなことを、だしぬけに男のひとに書いてやるのは、たしなみなくて、わるいことだと思ひます。
でも私、恥かしいことは、なんにも書きませんでした。	でも私、恥かしいことは、なんにも書きませんでした。
私、わざと私の名前を書かないの。	私、わざと私の名前を書かないの。
あなたはいまにきっと私をお忘れになってしまうだろうと思います。	あなたはいまにきつと私をお忘れになつてしまふだらうと思ひます。
お忘れになってもかまわないの。	お忘れになつてもかまはないの。
おや、忘れていました。	おや、忘れてゐました。
新年おめでとうございます。	新年おめでたうございます。
元旦。	元旦。
（風の便りはここで終らぬ）	（風の便りはここで終らぬ。）
あなたは私をおだましなさいました。	あなたは私をおだましなさいました。
あなたは私に、第二、第三の風の便りをも書かせると約束して置きながら、たっぷり葉書二枚ぶんのおかしな賀状の文句を書かせたきりで、私を死なせてしまうおつもりらしゅうございます。	あなたは私に、第二、第三の風の便りをも書かせると約束して置きながら、たつぷり葉書二枚ぶんのをかしな賀状の文句を書かせたきりで、私を死なせてしまふおつもりらしゆうございます。
れいのご深遠なご吟味をまたおはじめになったのでございましょうか。	れいのご深遠なご吟味をまたおはじめになつたのでございませうか。
私、こんなになるだろうということは、はじめから知っていました。	私、こんなになるだらうといふことは、はじめから知つてゐました。
でも私、ひょっとするとあの霊感とやらがあらわれて、どうやら私を生かしきることができるのではないかしら、とあなたのためにも私のためにもそればかりを祈っていました。	でも私、ひよつとするとあの靈感とやらがあらはれて、どうやら私を生かしきることができるのではないかしら、とあなたのためにも私のためにもそればかりを祈つてゐました。
やっぱり駄目なのね。	やつぱり駄目なのね。
まだお若いからかしら。	まだお若いからかしら。
いいえ、なんにもおっしゃいますな。	いいえ、なんにもおつしやいますな。
いくさに負けた大将は、だまっているものだそうでございます。	いくさに負けた大將は、だまつてゐるものださうでございます。
人の話に依りますと「ヘルマンとドロテア」も「野鴨」も「あらし」も、みんなその作者の晩年に書かれたものだそうでございます。	人の話に依りますと「ヘルマンとドロテア」も「野鴨」も「あらし」も、みんなその作者の晩年に書かれたものださうでございます。
ひとに憩いを与え、光明を投げてやるような作品を書くのに、才能だけではいけないようです。	ひとに憇ひを與へ、光明を投げてやるやうな作品を書くのに才能だけではいけないやうです。
もしも、あなたがこれから十年二十年とこのにくさげな世のなかにどうにかして炬火きどりで生きとおして、それから、もいちど忘れずに私をお呼びくだされたなら、私、どんなにうれしいでしょう。	もしも、あなたがこれから十年二十年とこのにくさげな世のなかにどうにかして炬火きどりで生きとほして、それから、もいちど忘れずに私をお呼びくだされたなら、私、どんなにうれしいでせう。
きっときっと参ります。	きつときつと參ります。
約束してよ。	約束してよ。
さようなら。	さやうなら。
あら、あなたはこの原稿を破るおつもり？	あら、あなたはこの原稿を破るおつもり？
およしなさいませ。	およしなさいませ。
このような文学に毒された、もじり言葉の詩とでもいったような男が、もし小説を書いたとしたなら、まずざっとこんなものだと素知らぬふりして書き加えでもして置くと、案外、世のなかのひとたちは、あなたの私を殺しっぷりがいいと言って、喝采を送るかも知れません。	このやうな文學に毒された、もぢり言葉の詩とでもいつたやうな男が、もし小説を書いたとしたなら、まづざつとこんなものだと素知らぬふりして書き加へでもして置くと、案外、世のなかのひとたちは、あなたの私を殺しつぷりがいいと言つて、喝采を送るかも知れません。
あなたのよろめくおすがたがさだめし大受けでございましょう。	あなたのよろめくおすがたがさだめし大受けでございませう。
そしておかげで私の指さきもそれから脚も、もう三秒とたたぬうちに、みるみる冷くなるでございましょう。	そしておかげで私の指さきもそれから脚も、もう三秒とたたぬうちに、みるみる冷くなるでございませう。
ほんとうは怒っていないの。	ほんたうは怒つてゐないの。
だってあなたはわるくないし、いいえ、理窟はないんだ。	だつてあなたはわるくないし、いいえ、理窟はないんだ。
ふっと好きなの。	ふつと好きなの。
あああ。	あああ。
あなた、仕合せは外から？	あなた、仕合せは外から？
さようなら、坊ちゃん。	さやうなら、坊ちやん。
もっと悪人におなり。	もつと惡人におなり。
男は書きかけの原稿用紙に眼を落してしばらく考えてから、題を猿面冠者とした。	男は書きかけの原稿用紙に眼を落してしばらく考へてから、題を猿面冠者とした。
それはどうにもならないほどしっくり似合った墓標である、と思ったからであった。	それはどうにもならないほどしつくり似合つた墓標である、と思つたからであつた。
底本：「晩年」新潮文庫、新潮社	底本：「太宰治全集2」筑摩書房
1947（昭和22）年12月10日発行	1998（平成10）年5月25日初版第1刷発行底本の親本：「晩年」第一小説集叢書、砂子屋書房
1985（昭和60）年10月5日70刷改版	
1999（平成11）年6月25日105刷	1936（昭和11）年6月25日
初出：「鷭　第二輯」	初出：「鷭　第二輯」
1934（昭和9）年7月	1934（昭和9）年7月1日発行
入力：村田拓哉	入力：赤木孝之
校正：青木直子	校正：湯地光弘
1999年12月17日公開	1999年6月15日公開
2013年4月6日修正	2016年2月23日修正
青空文庫作成ファイル：	青空文庫作成ファイル：
このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。	このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。
入力、校正、制作にあたったのは、ボランティアの皆さんです。	入力、校正、制作にあたったのは、ボランティアの皆さんです。
