廃墟から	廃墟から
槇氏は近頃｜上海から復員して帰って来たのですが、帰ってみると、家も妻子も無くなっていました。	槇氏は近頃上海から復員して帰つて来たのですが、帰つてみると、家も妻子も無くなつてゐました。
で、廿日市町の妹のところへ身を寄せ、時々、広島へ出掛けて行くのでした。	で、廿日市町の妹のところへ身を寄せ、時々、広島へ出掛けて行くのでした。
あの当時から数えてもう四カ月も経っている今日、今迄｜行方不明の人が現れないとすれば、もう死んだと諦めるよりほかはありません。	あの当時から数へてもう四ヶ月も経つてゐる今日、今迄行衛不明の人が現れないとすれば、もう死んだと諦めるよりほかはありません。
槇氏にしてみても、細君の郷里をはじめ心あたりを廻ってはみましたが、何処でも悔みを云われるだけでした。	槇氏にしてみても、細君の郷里をはじめ心あたりを廻つてはみましたが、何処でも悔みを云はれるだけでした。
流川の家の焼跡へも二度ばかり行ってみました。	流川の家の焼跡へも二度ばかり行つてみました。
罹災者の体験談もあちこちで聞かされました。	罹災者の体験談もあちこちで聞かされました。
実際、広島では今でも何処かで誰かが絶えず八月六日の出来事を繰返し繰返し喋っているのでした。	実際、広島では今でも何処かで誰かが絶えず八月六日の出来事を繰返し喋つてゐるのでした。
行方不明の妻を探すために数百人の女の死体を抱き起して首実検してみたところ、どの女も一人として腕時計をしていなかったという話や、流川放送局の前に伏さって死んでいた婦人は赤ん坊に火のつくのを防ぐような姿勢で打伏になっていたという話や、そうかと思うと瀬戸内海のある島では当日、建物疎開の勤労奉仕に村の男子が全部動員されていたので、一村｜挙って寡婦となり、その後女房達は村長のところへ捻じ込んで行ったという話もありました。	行衛不明の妻を探すために数百人の女の死体を抱き起して首実検してみたところ、どの女も一人として腕時計をしてゐなかつたといふ話や、流川放送局の前に伏さつて死んでゐた婦人は赤ん坊に火のつくのを防ぐやうな姿勢で打伏になつてゐたといふ話や、さうかと思ふと瀬戸内海のある島では当日、建物疎開の勤労奉仕に村の男子が全部動員されてゐたので、一村挙つて寡婦となり、その後女房達は村長のところへ捻ぢ込んで行つたといふ話もありました。
槇氏は電車の中や駅の片隅で、そんな話をきくのが好きでしたが、広島へ度々出掛けて行くのも、いつの間にか習慣のようになりました。	槇氏は電車の中や駅の片隅で、そんな話をきくのが好きでしたが、広島へ度々出掛けて行くのも、いつの間にか習慣のやうになりました。
自然、己斐駅や広島駅前の闇市にも立寄りました。	自然、己斐駅や広島駅前の闇市にも立寄りました。
が、それよりも、焼跡を歩きまわるのが一種のなぐさめになりました。	が、それよりも、焼跡を歩きまはるのが一種のなぐさめになりました。
以前はよほど高い建ものにでも登らない限り見渡せなかった、中国山脈がどこを歩いていても一目に見えますし、瀬戸内海の島山の姿もすぐ目の前に見えるのです。	以前はよほど高い建ものにでも登らない限り見渡せなかつた、中国山脈がどこを歩いてゐても一目に見えますし、瀬戸内海の島山の姿もすぐ目の前に見えるのです。
それらの山々は焼跡の人間達を見おろし、一体どうしたのだ？	それらの山々は焼跡の人間達を見おろし、一体どうしたのだ？
と云わんばかりの貌つきです。	と云はんばかりの貌つきです。
しかし、焼跡には気の早い人間がもう粗末ながらバラックを建てはじめていました。	しかし、焼跡には気の早い人間がもう粗末ながらバラツクを建てはじめてゐました。
軍都として栄えた、この街が、今後どんな姿で更生するだろうかと、槇氏は想像してみるのでした。	軍都として栄えた、この街が、今後どんな姿で更生するだらうかと、槇氏は想像してみるのでした。
すると緑樹にとり囲まれた、平和な、街の姿がぼんやりと浮ぶのでした。	すると緑樹にとり囲まれた、平和な、街の姿がぼんやりと浮ぶのでした。
あれを思い、これを思い、ぼんやりと歩いていると、槇氏はよく見知らぬ人から挨拶されました。	あれを思ひ、これを思ひ、ぼんやりと歩いてゐると、槇氏はよく見知らぬ人から挨拶されました。
ずっと以前、槇氏は開業医をしていたので、もしかしたら患者が顔を憶えていてくれたのではあるまいかとも思われましたが、それにしても何だか変なのです。	ずつと以前、槇氏は開業医をしてゐたので、もしかしたら患者が顔を憶えてゐてくれたのではあるまいかとも思はれましたが、それにしても何だか変なのです。
最初、こういうことに気附いたのは、たしか、己斐から天満橋へ出る泥濘を歩いている時でした。	最初、かういふことに気附いたのは、たしか、己斐から天満橋へ出る泥濘を歩いてゐる時でした。
恰度、雨が降りしきっていましたが、向うから赤錆びたトタンの切れっぱしを頭に被り、ぼろぼろの着物を纏った乞食らしい男が、雨傘のかわりに翳しているトタンの切れから、ぬっと顔を現しました。	恰度、雨が降りしきつてゐましたが、向から赤錆びたトタンの切れつぱしを頭に被り、ぼろぼろの着物を纏つた乞食らしい男が、雨傘のかはりに翳してゐるトタンの切れから、ぬつと顔を現はしました。
そのギロギロと光る眼は不審げに、槇氏の顔をまじまじと眺め、今にも名乗をあげたいような表情でした。	そのギロギロと光る眼は不審げに、槇氏の顔をまじまじと眺め、今にも名乗をあげたいやうな表情でした。
が、やがて、さっと絶望の色に変り、トタンで顔を隠してしまいました。	が、やがて、さつと絶望の色に変り、トタンで顔を隠してしまひました。
混み合う電車に乗っていても、向うから頻りに槇氏に対って頷く顔があります。	混み合ふ電車に乗つてゐても、向から頻りに槇氏に対つて頷く顔があります。
ついうっかり槇氏も頷きかえすと、「あなたはたしか山田さんではありませんでしたか」などと人ちがいのことがあるのです。	ついうつかり槇氏も頷きかへすと、「あなたはたしか山田さんではありませんでしたか」などと人ちがひのことがあるのです。
この話をほかの人に話したところ、見知らぬ人から挨拶されるのは、何も槇氏に限ったことでないことがわかりました。	この話をほかの人に話したところ、見知らぬ人から挨拶されるのは、何も槇氏に限つたことでないことがわかりました。
実際、広島では誰かが絶えず、今でも人を捜し出そうとしているのでした。	実際、広島では誰かが絶えず、今でも人を捜し出さうとしてゐるのでした。
