化鳥	化鳥
といった時ふっくりした鼻のさきがふらふらして、手で、胸にかけた何だか徽章をはじいたあとで、	といつた時ふつくりした鼻のさきがふら／＼して、手で、胸にかけた赤十字の徽章をはぢいたあとで、
「分ったかね。」	「分つたかね。」
こんどはやさしい声でそういったまままた行きそうにする。	こんどはやさしい声でさういつたまゝまた行きさうにする。
「いけません。	「いけません。
お払でなきゃアあとへお帰んなさい。」	お払でなきやアあとへお帰ンなさい。」
とおっしゃった。	とおつしやつた。
先生妙な顔をしてぼんやり立ってたが少しむきになって、	先生妙な顔をしてぼんやり立つてたが少しむきになつて、
「ええ、こ、細いのがないんじゃから。」	「えゝ、こ、細いのがないんじやから。」
「おつりを差上げましょう。」	「おつりを差上げましやう。」
おっかさんは帯のあいだへ手をお入れ遊ばした。	おつかさんは帯のあひだへ手をお入れ遊ばした。
母様はうそをおっしゃらない。	母様はうそをおつしやらない、
博士が橋銭をおいて遁げて行くと、しばらくして雨が晴れた。	博士が橋銭をおいてにげて行くと、しばらくして雨が晴れた。
橋も蛇籠も皆雨にぬれて、黒くなって、あかるい日中へ出た。	橋も蛇籠も皆雨にぬれて、黒くなつて、あかるい日中へ出た。
榎の枝からは時々はらはらと雫が落ちる。	榎の枝からは時々はら／＼と雫が落ちる、
中流へ太陽がさして、みつめているとまばゆいばかり。	中流へ太陽がさして、みつめて居るとまばゆいばかり。
「母様遊びに行こうや。」	「母様遊びに行かうや。」
この時｜鋏をお取んなすって、	此時鋏をお取んなすつて、
「ああ。」	「あゝ。」
「ねえ、出かけたって可いの、晴れたんだもの。」	「ねイ、出かけたつて可の、晴れたんだもの。」
「可いけれど、廉や、お前またあんまりお猿にからかってはなりませんよ。	「可けれど、廉や、お前またあんまりお猿にからかつてはなりませんよ。
そう可い塩梅にうつくしい羽の生えた姉さんがいつでもいるんじゃあありません。	さう、可塩梅にうつくしい羽の生へた姉さんが何時でもいるんぢやあありません。
また落っこちようもんなら。」	また落つこちやうもんなら。」
ちょいと見向いて、清い眼で御覧なすって、莞爾してお俯向きで、せっせと縫っていらっしゃる。	ちよいと見向いて、清い眼で御覧なすつて莞爾してお俯向きで、せつせと縫つて居らつしやる。
そう、そう！	さう、さう！
そうだった。	さうであつた。
ほら、あの、いま頬っぺたを掻いて、むくむく濡れた毛からいきりをたてて日向ぼっこをしている、憎らしいッたらない。	ほら、あの、いま頬つぺたを掻いてむく／＼濡れた毛からいきりをたてゝ日向ぼつこをして居る、憎らしいツたらない。
いまじゃあもう半年も経ったろう。暑さの取着の晩方頃で、いつものように遊びに行って、人が天窓を撫でてやったものを、業畜、悪巫山戯をして、キッキッと歯を剥いて、引掻きそうな剣幕をするから、吃驚して飛退こうとすると、前足でつかまえた、放さないから力を入れて引張り合った奮みであった。	いまじやあもう半年も経つたらう、暑さの取着の晩方頃で、いつものやうに遊びに行つて、人が天窓を撫でゝやつたものを、業畜、悪巫山戯をして、キツ／＼と歯を剥いて、引掻きさうな権幕をするから、吃驚して飛退かうとすると、前足でつかまへた、放さないから力を入れて引張り合つた奮みであつた。
左の袂がびりびりと裂けて断れて取れた、はずみをくって、踏占めた足がちょうど雨上りだったから、堪りはしない。石の上へ辷って、ずるずると川へ落ちた。左の袂がびり／＼と裂てちぎれて取たはづみをくつて、踏占めた足がちやうど雨上りだつたから、堪りはしない、石の上を辷つて、ずる／＼と川へ落ちた。
わっといった顔へ一波かぶって、呼吸をひいて仰向けに沈んだから、面くらって立とうとすると、また倒れて、眼がくらんで、アッとまたいきをひいて、苦しいので手をもがいて身体を動かすとただどぶんどぶんと沈んで行く。情ないと思ったら、内に母様の坐っていらっしゃる姿が見えたので、また勢づいたけれど、やっぱりどぶんどぶんと沈むから、どうするのかなと落着いて考えたように思う。		わつといつた顔へ一波かぶつて、呼吸をひいて仰向けに沈むだから、面くらつて立たうとするとまた倒れて眼がくらむで、アツとまたいきをひいて、苦しいので手をもがいて身躰を動かすと唯どぶん／＼と沈むで行く、情ないと思つたら、内に母様の坐つて居らつしやる姿が見えたので、また勢ついたけれど、やつぱりどぶむ／＼と沈むから、何うするのかなと落着いて考へたやうに思ふ。
それから何のことだろうと考えたようにも思われる。今に眼が覚めるのであろうと思ったようでもある、何だかぼんやりしたが俄に水ん中だと思って叫ぼうとすると水をのんだ。	それから何のことだらうと考えたやうにも思はれる、今に眼が覚めるのであらうと思つたやうでもある、何だか茫乎したが俄に水ン中だと思つて叫ばうとすると水をのんだ。
もう駄目だ。	もう駄目だ。
もういかんとあきらめるトタンに胸が痛かった、それから悠々と水を吸った、するとうっとりして何だか分らなくなったと思うと、と糸のような真赤な光線がさして、一幅あかるくなったなかにこの身体が包まれたので、ほっといきをつくと、山の端が遠く見えて、私のからだは地を放れて、その頂より上の処に冷いものに抱えられていたようで、大きなうつくしい目が、濡髪をかぶって私の頬ん処へくっついたから、ただ縋り着いてじっとして眼を眠った覚がある。	もういかんとあきらめるトタンに胸が痛かつた、それから悠々と水を吸つた、するとうつとりして何だか分らなくなつたと思ふと溌と糸のやうな真赤な光線がさして、一巾あかるくなつたなかにこの身躰が包まれたので、ほつといきをつくと、山の端が遠く見えて私のからだは地を放れて其頂より上の処に冷いものに抱へられて居たやうで、大きなうつくしい眼が、濡髪をかぶつて私の頬ん処へくつゝいたから、唯縋り着いてじつと眼を眠つた覚がある。
夢ではない。	夢ではない。
やっぱり片袖なかったもの。	やつぱり片袖なかつたもの、
そして川へ落こちて溺れそうだったのを救われたんだって、母様のお膝に抱かれていて、その晩聞いたんだもの。	そして川へ落こちて溺れさうだつたのを救はれたんだつて、母様のお膝に抱かれて居て、其晩聞いたんだもの。
だから夢ではない。	だから夢ではない。
一体助けてくれたのは誰ですッて、母様に問うた。	一躰助けて呉れたのは誰ですッて、母様に問ふた。
私がものを聞いて、返事に躊躇をなすったのはこの時ばかりで、また、それは猪だとか、狼だとか、狐だとか、頬白だとか、山雀だとか、鮟鱇だとか、鯖だとか、蛆だとか、毛虫だとか、草だとか、竹だとか、松蕈だとか、湿地茸だとかおいいでなかったのもこの時ばかりで、そして顔の色をおかえなすったのもこの時ばかりで、それに小さな声でおっしゃったのもこの時ばかりだ。	私がものを聞いて、返事に躊躇をなすつたのは此時ばかりで、また、それは猪だとか、狼だとか、狐だとか、頬白だとか、山雀だとか、鮟鱇だとか鯖だとか、蛆だとか、毛虫だとか、草だとか、竹だとか、松茸だとか、しめぢだとかおいひでなかつたのも此時ばかりで、そして顔の色をおかへなすつたのも此時ばかりで、それに小さな声でおつしやつたのも此時ばかりだ。
そして母様はこうおいいであった。	そして母様はかうおいひであつた。
（廉や、それはね、大きな五色の翼があって天上に遊んでいるうつくしい姉さんだよ。）	（廉や、それはね、大きな五色の翼があつて天上に遊んで居るうつくしい姉さんだよ）
（鳥なの、母様。）	（鳥なの、母様）
とそういってその時私が聴いた。	とさういつて其時私が聴いた。
これにも母様は少し口籠っておいでであったが、	此にも母様は少し口籠つておいでゝあつたが、
（鳥じゃあないよ、翼の生えた美しい姉さんだよ。）	（鳥ぢやないよ、翼の生へた美しい姉さんだよ）
どうしても分らんかった。	何うしても分らんかつた。
うるさくいつたらしまひにやお前には分らない、とさうおいひであつた、また推返して聴いたら、やつぱり、
うるさくいったら、しまいにゃ、お前には分らない、とそうおいいであったのを、また推返して聴いたら、やっぱり、	
（翼の生えたうつくしい姉さんだってば。）	（翼の生へたうつくしい姉さんだつてば）
それで仕方がないからきくのはよして、見ようと思った。	
そのうつくしい翼のはえたもの見たくなって、どこに居ます／＼ッて、せッついても、知らないと、そういってばかりおいでであったが、毎日々々あまりしつこかったもんだから、とうとう余儀なさそうなお顔色で、	それで仕方がないからきくのはよして、見やうと思つた、其うつくしい翼のはへたもの見たくなつて、何処に居ます／＼ツて、せつツいても知らないと、さういつてばかりおいでゝあつたが、毎日／＼あまりしつこかつたもんだから、とう／＼余儀なさゝうなお顔色で、
（鳥屋の前にでもいって見て来るが可い。）	（鳥屋の前にでもいつて見て来るが可）	
そんならわけはない。	そんならわけはない。
小屋を出て二町ばかり行くと、直ぐ坂があって、坂の下口に一軒鳥屋があるので、樹蔭も何にもない、お天気のいい時あかるいあかるい小さな店で、町家の軒ならびにあった。	小屋を出て二｜町ばかり行くと直坂があつて、坂の下口に一軒鳥屋があるので、樹蔭も何にもない、お天気のいゝ時あかるい／＼小さな店で、町家の軒ならびにあつた。
鸚鵡なんざ、くるッとした、露のたりそうな、小さな眼で、あれで瞳が動きますよ。	鸚鵡なんざ、くるツとした露のたりさうな、小さな眼で、あれで瞳が動きますね。
毎日々々行っちゃあ立っていたので、しまいにゃあ見知顔で私の顔を見て頷くようでしたっけ、でもそれじゃあない。	毎日々々行つちやあ立つて居たので、しまひにやあ見知顔で私の顔を見て頷くやうでしたつけ、でもそれぢやあない。
駒鳥はね、丈の高い、籠ん中を下から上へ飛んで、すがって、ひょいと逆に腹を見せて熟柿の落こちるようにぼたりとおりて、餌をつついて、私をばかまいつけない、ちっとも気に懸けてくれようとはしなかった、それでもない。	駒はね、丈の高い、籠ん中を下から上へ飛んで、すがつて、ひよいと逆に腹を見せて熟柿の落こちるやうにぽたりとおりて餌をつゝいて、私をばかまひつけない、ちつとも気に懸けてくれやうとはしないであつた、それでもない。
皆違ってる。	皆違つとる。
翼の生えたうつくしい姉さんは居ないのッて、一所に立った人をつかまえちゃあ、聞いたけれど、笑うものやら、嘲けるものやら、聞かないふりをするものやら、つまらないとけなすものやら、馬鹿だというものやら、番小屋の媽々に似て此奴もどうかしていらあ、というものやら。	翼の生へたうつくしい姉さんは居ないのッて、一所に立つた人をつかまへちやあ、聞いたけれど、笑ふものやら、嘲けるものやら、聞かないふりをするものやら、つまらないとけなすものやら、馬鹿だといふものやら、番小屋の媽々に似て此奴も何うかして居らあ、といふものやら、
皆獣だ。	皆獣だ。
（翼の生えたうつくしい姉さんは居ないの。）	（翼の生へたうつくしい姉さんは居ないの）
ッて聞いた時、莞爾笑って両方から左右の手でおうように私の天窓を撫でて行った、それは一様に緋羅紗のずぼんを穿いた二人の騎兵で――聞いた時――莞爾笑って、両方から左右の手で、おうように私の天窓をなでて、そして手を引あって黙って坂をのぼって行った。長靴の音がぽっくりして、銀の剣の長いのがまっすぐに二ツならんで輝いて見えた。	ツて聞いた時、莞爾笑つて両方から左右の手でおうやうに私の天窓を撫でゝ行つた、それは一様に緋羅紗のづぼんを穿いた二人の騎兵で――聞いた時――莞爾笑つて、両方から左右の手で、おうやうに私の天窓をなでゝ、そして手を引あつて黙つて坂をのぼつて行つた、長靴の音がぼつくりして、銀の剣の長いのがまつすぐに二ツならんで輝いて見えた。
そればかりで、あとは皆馬鹿にした。	そればかりで、あとは皆馬鹿にした。
五日ばかり学校から帰っちゃあその足で鳥屋の店へ行って、じっと立って、奥の方の暗い棚ん中で、コトコトと音をさしているその鳥まで見覚えたけれど、翼の生えた姉さんは居ないので、ぼんやりして、ぼッとして、ほんとうに少し馬鹿になったような気がしいしい、日が暮れると帰り帰りした。	五日ばかり学校から帰つちやあ其足で鳥屋の店へ行つてじつと立つて奥の方の暗い棚ん中で、コト／＼と音をさして居る其鳥まで見覚えたけれど、翼の生へた姉さんは居ないのでぼんやりして、ぼツとして、ほんとうに少し馬鹿になつたやうな気がしい／＼、日が暮れると帰り帰りした。
で、とても鳥屋には居ないものとあきらめたが、どうしても見たくッてならないので、また母様にねだって聞いた。	で、とても鳥屋には居ないものとあきらめたが、何うしても見たくツてならないので、また母様にねだつて聞いた。
どこに居るの、翼の生えたうつくしい人はどこに居るのッて。	何処に居るの、翼の生へたうつくしい人は何処に居るのツて。
何とおいいでも肯分けないものだから母様が、	何とおいひでも肯分けないものだから母様が、
（それでは林へでも、裏の田圃へでも行って、見ておいで。	（それでは林へでも、裏の田畝へでも行つて見ておいで。
なぜッて、天上に遊んでいるんだから、籠の中に居ないのかも知れないよ。）	何故ツて天上に遊んで居るんだから籠の中に居ないのかも知れないよ）
それから私、あの、梅林のある処に参りました。	それから私、あの、梅林のある処に参りました。
あの桜山と、桃谷と、菖蒲の池とある処で。	あの桜山と、桃谷と、菖蒲の池とある処で。
しかし、それはただ青葉ばかりで、菖蒲の短いのがむらがってて、水の色の黒い時分、ここへも二日、三日続けて行きましたっけ、小鳥は見つからなかった。	しかし其は唯青葉ばかりで菖蒲の短いのがむらがつてゝ、水の色の黒い時分、此処へも二日、三日続けて行きましたつけ、小鳥は見つからなかつた。
烏が沢山居た。	烏が沢山居た。
あれが、かあかあ鳴いて一しきりして静まるとその姿の見えなくなるのは、大方その翼で、日の光をかくしてしまうのでしょう。大きな翼だ、まことに大い翼だ、けれどもそれではない。	あれが、かあ／＼鳴いて一しきりして静まると其姿の見えなくなるのは、大方其翼で、日の光をかくしてしまふのでしやう、大きな翼だ、まことに大い翼だ、けれどもそれではない。
日が暮れかかると、あっちに一ならび、こっちに一ならび、横縦になって、梅の樹が飛々に暗くなる。	日が暮れかゝると彼方に一ならび、此方に一ならび縦横になつて、梅の樹が飛々に暗くなる。
枝々のなかの水田の水がどんよりして淀んでいるのに際立って真白に見えるのは鷺だった、二羽一ところに、ト三羽一ところに、ト居て、そして一羽が六尺ばかり空へ斜に足から糸のように水を引いて立ってあがったが音がなかった、それでもない。	枝々のなかの水田の水がどむよりして淀むで居るのに際立つて真白に見えるのは鷺だつた、二羽一処にト三羽一処にト居てそして一羽が六｜尺ばかり空へ斜に足から糸のやうに水を引いて立つてあがつたが音がなかつた、それでもない。
蛙が一斉に鳴きはじめる。	蛙が一斉に鳴きはじめる。
森が暗くなって、山が見えなくなった。	森が暗くなつて、山が見えなくなつた。
宵月の頃だったのに、曇ってたので、星も見えないで、陰々として一面にものの色が灰のようにうるんでいた、蛙がしきりになく。	宵月の頃だつたのに曇てたので、星も見えないで、陰々として一面にものゝ色が灰のやうにうるんであつた、蛙がしきりになく。
仰いで高い処に、朱の欄干のついた窓があって、そこが母様のうちだったと聞く。仰いで高い処に、朱の欄干のついた窓があって、そこから顔を出す、その顔が自分の顔であったんだろうにトそう思いながら破れた垣の穴ん処に腰をかけてぼんやりしていた。	仰いで高い処に朱の欄干のついた窓があつて、そこが母様のうちだつたと聞く、仰いで高い処に朱の欄干のついた窓があつてそこから顔を出す、其顔が自分の顔であつたんだらうにトさう思ひながら破れた垣の穴ん処に腰をかけてぼんやりして居た。
いつでもあの翼の生えたうつくしい人をたずねあぐむ、その昼のうち精神の疲労ないうちは可いんだけれど、度が過ぎて、そんなに晩くなると、いつも、こう滅入ってしまって、何だか、人に離れたような、世間に遠ざかったような気がするので、心細くもあり、うら悲しくもあり、覚束ないようでもあり、恐しいようでもある。	いつでもあの翼の生へたうつくしい人をたづねあぐむ、其昼のうち精神の疲労ないうちは可んだけれど、度が過ぎて、そんなに晩くなると、いつもかう滅入つてしまつて、何だか、人に離れたやうな世間に遠ざかつたやうな気がするので、心細くもあり、裏悲しくもあり、覚束ないやうでもあり、恐ろしいやうでもある、嫌な心持だ、嫌な心持だ。
嫌な心持だ、嫌な心持だ。	早く帰らうとしたけれど気が重くなつて其癖神経は鋭くなつて、それで居てひとりでにあくびが出た。
早く帰ろうとしたけれど、気が重くなって、その癖神経は鋭くなって、それでいてひとりでにあくびが出た。	あれ！
あれ！	
赤い口をあいたんだなと、自分でそうおもって、吃驚した。	赤い口をあいたんだなと、自分でさうおもつて、吃驚した。
ぼんやりした梅の枝が手をのばして立ってるようだ。	ぼんやりした梅の枝が手をのばして立つてるやうだ。
あたりをすと真暗で、遠くの方で、ほう、ほうッて、呼ぶのは何だろう。	あたりをすと真くらで、遠くの方で、ほう、ほうツて、呼ぶのは何だらう。
冴えた通る声で野末を押ひろげるように、鳴く、トントントントンと谺にあたるような響きが遠くから来るように聞える鳥の声は、梟であった。	冴えた通る声で野末を押ひろげるやうに、啼く、トントントントンと谺にあたるやうな響きが遠くから来るやうに聞こえる鳥の声は、梟であつた。
一ツでない。	一ツでない。
二ツも三ツも。	二ツも三ツも。
私に何を談すのだろう、私に何を話すのだろう。	私に何を談すのだらう、私に何を談すのだらう、鳥がものをいふと慄然として身の毛が慄立つた。
鳥がものをいうと慄然として身の毛が弥立った。	
ほんとうにその晩ほど恐かったことはない。	ほんとうに其晩ほど恐かつたことはない。
蛙の声がますます高くなる、これはまた仰山な、何百、どうして幾千と居て鳴いてるので、幾千の蛙が一ツ一ツ眼があって、口があって、足があって、身体があって、水ン中に居て、そして声を出すのだ。	蛙の声がます／＼高くなる、これはまた仰山な、何百、何うして幾千と居て鳴いてるので、幾千の蛙が一ツ一ツ眼があつて、口があつて、足があつて、身躰があつて、水ン中に居て、そして声を出すのだ。
一ツ一ツ、トわなないた。	一ツ一ツトわなゝいた。
寒くなった。	寒くなつた。
風が少し出て、樹がゆっさり動いた。	風が少し出て樹がゆつさり動いた。
身体がどうにかなってるようで	身躰が何うにかなつてるやうで、
蛙の声がますます高くなる。居ても立っても居られなくッて、そっと動き出した。	蛙の声がます／＼高くなる、居ても立つても居られなくツて、そつと動き出した、
すっと立ち切れないで踞った、裙が足にくるまって、帯が少し弛んで、胸があいて、うつむいたまま天窓がすわった。	すつと立ち切れないで蹲つた、裾が足にくるまつて、帯が少し弛むで、胸があいて、うつむいたまゝ天窓がすはつた。
ものがぼんやり見える。	ものがぼんやり見える。
見えるのは眼だトまたふるえた。	見えるのは眼だトまたふるえた。
ふるえながら、そっと、大事に、内証で、手首をすくめて、自分の身体を見ようと思って、左右へ袖をひらいた時、もう、思わずキャッと叫んだ。	ふるえながら、そつと、大事に、内証で、手首をすくめて、自分の身躰を見やうと思つて、左右へ袖をひらいた時もう思はずキヤツと叫んだ。
だって私が鳥のように見えたんですもの。	だつて私が鳥のやうに見えたんですもの。
どんなに恐かったろう。	何んなに恐かつたらう。
この時、背後から母様がしっかり抱いて下さらなかったら、私どうしたんだか知れません。	此時背後から母様がしつかり抱いて下さらなかつたら、私何うしたんだか知れません。
それはおそくなったから見に来て下すったんで、泣くことさえ出来なかったのが、	其はおそくなつたから見に来て下すつたんで泣くことさへ出来なかつたのが、
「母様！」	「母様！」
といって離れまいと思って、しっかり、しっかり、しっかり襟ん処へかじりついて仰向いてお顔を見た時、フット気が着いた。	といつて離れまいと思つて、しつかり、しつかり、しつかり襟ん処へかぢりついて仰向いてお顔を見た時、フツト気が着いた。
どうもそうらしい、翼の生えたうつくしい人はどうも母様であるらしい。	何うもさうらしい、翼の生へたうつくしい人は何うも母様であるらしい。
もう鳥屋には、行くまい。	もう鳥屋には、行くまい、
わけてもこの恐しい処へと、その後ふっつり。	わけてもこの恐い処へと、其後ふつゝり。
しかしどうしてもどう見ても、母様にうつくしい五色の翼が生えちゃあいないから、またそうではなく、他にそんな人が居るのかも知れない、どうしても判然しないで疑われる。	しかし何うしても何う見ても母様にうつくしい五色の翼が生へちやあ居ないから、またさうではなく、他にそんな人が居るのかも知れない、何うしても判然しないで疑はれる。
雨も晴れたり、ちょうど石原も辷るだろう。	雨も晴れたり、ちやうど石原も辷るだらう。
母様はああおっしゃるけれど、わざとあの猿にぶつかって、また川へ落ちてみようかしら。	母様はあゝおつしやるけれど、故とあの猿にぶつかつて、また川へ落ちて見やうか不知。
そうすりゃまた引上げて下さるだろう。	さうすりやまた引上げて下さるだらう。
見たいな！	見たいな！
羽の生えたうつくしい姉さん。	翼の生へたうつくしい姉さん。
だけれども、まあ、可い。	だけれども、まあ、可、
母様が居らつしやるから、母様が居らつしやつたから。
